,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
0,1.0,0.0,1.0,0.128496193841,3498,41.388655,2.178852,6,2.0,Ciutat Vella,4.0,67.0,75,27,93672,3359293,Entire home/apt
1,1.0,1.0,1.0,0.128496193841,3498,41.38798,2.179656,6,1.0,Ciutat Vella,4.5,135.0,75,4,93672,2477291,Entire home/apt
2,1.0,1.0,1.0,0.128496193841,3498,41.380898,2.1815,6,3.0,Ciutat Vella,4.5,101.0,75,32,93672,759313,Entire home/apt
3,1.0,1.0,1.0,0.128496193841,3498,41.381305,2.169026,6,3.0,Ciutat Vella,5.0,62.0,75,4,93672,758298,Private room
4,1.0,1.0,1.0,0.128496193841,3498,41.378899,2.16782,6,3.0,Ciutat Vella,4.5,66.0,75,31,93672,756588,Private room
5,1.0,1.0,1.0,0.128496193841,3498,41.387722,2.176651,6,2.0,Ciutat Vella,4.0,22.0,75,132,93672,753546,Private room
6,1.0,1.0,1.0,0.128496193841,3498,41.389609,2.177899,6,2.0,Ciutat Vella,4.0,22.0,75,103,93672,753495,Private room
7,1.0,1.0,1.0,0.128496193841,3498,41.375087,2.187586,6,2.0,Ciutat Vella,4.5,17.0,75,18,93672,2472646,Private room
8,1.0,1.0,1.0,0.128496193841,3498,41.384917,2.180335,6,60.0,Ciutat Vella,4.0,28.0,75,1,93672,741262,Entire home/apt
9,1.0,1.0,1.0,0.128496193841,3498,41.384358,2.179873,6,1.0,Ciutat Vella,5.0,62.0,75,148,93672,987886,Entire home/apt
10,1.0,1.0,1.0,0.128496193841,3498,41.381502,2.176524,6,3.0,Ciutat Vella,5.0,225.0,75,1,93672,2040320,Private room
11,1.0,1.0,1.0,0.128496193841,3498,41.381393,2.171331,6,1.0,Ciutat Vella,4.5,39.0,75,79,93672,2044947,Private room
12,1.0,1.0,1.0,0.128496193841,3498,41.375691,2.175695,6,31.0,Ciutat Vella,4.5,61.0,75,3,93672,993497,Entire home/apt
13,1.0,1.0,1.0,0.128496193841,3498,41.384823,2.182607,6,3.0,Ciutat Vella,5.0,78.0,75,3,93672,2047881,Entire home/apt
14,1.0,1.0,1.0,0.128496193841,3498,41.381851,2.168186,6,1.0,Ciutat Vella,4.5,28.0,75,39,93672,990948,Private room
15,1.0,1.0,1.0,0.128496193841,3498,41.383791,2.178985,6,3.0,Ciutat Vella,4.0,34.0,75,38,93672,2048782,Entire home/apt
16,1.0,1.0,1.0,0.128496193841,3498,41.383987,2.183484,6,1.0,Ciutat Vella,4.5,77.0,75,105,93672,989553,Entire home/apt
17,1.0,1.0,1.0,0.128496193841,3498,41.384054,2.179777,6,1.0,Ciutat Vella,4.5,32.0,75,113,93672,996713,Entire home/apt
18,1.0,1.0,1.0,0.128496193841,3498,41.380339,2.175449,6,2.0,Ciutat Vella,4.0,101.0,75,62,93672,742170,Entire home/apt
19,1.0,1.0,1.0,0.128496193841,3498,41.37759,2.167478,6,1.0,Ciutat Vella,4.5,45.0,75,55,93672,2490519,Entire home/apt
20,1.0,1.0,1.0,0.128496193841,3498,41.381027,2.165822,6,3.0,Ciutat Vella,4.5,32.0,75,73,93672,748693,Private room
21,1.0,1.0,1.0,0.128496193841,3498,41.380598,2.178382,6,2.0,Ciutat Vella,4.0,87.0,75,38,93672,2450703,Entire home/apt
22,1.0,1.0,1.0,0.128496193841,3498,41.385843,2.179281,6,2.0,Ciutat Vella,4.5,62.0,75,34,93672,761338,Entire home/apt
23,1.0,1.0,1.0,0.128496193841,3498,41.380393,2.174805,6,2.0,Ciutat Vella,4.0,100.0,75,61,93672,773727,Entire home/apt
24,1.0,1.0,1.0,0.128496193841,3498,41.384854,2.184797,6,3.0,Ciutat Vella,4.0,84.0,75,29,93672,784673,Entire home/apt
25,1.0,1.0,1.0,0.128496193841,3498,41.384434,2.17973,6,2.0,Ciutat Vella,4.5,36.0,75,86,93672,2416137,Private room
26,1.0,1.0,1.0,0.128496193841,3498,41.383837,2.181381,6,2.0,Ciutat Vella,5.0,20.0,75,107,93672,786274,Private room
27,1.0,1.0,1.0,0.128496193841,3498,41.376919,2.167337,6,3.0,Ciutat Vella,4.5,84.0,75,43,93672,2422542,Entire home/apt
28,1.0,1.0,1.0,0.128496193841,3498,41.380839,2.171498,6,2.0,Ciutat Vella,4.5,73.0,75,33,93672,2424905,Private room
