,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
0,8.0,10.0,10.0,0.0570151069807,1206,52.508112,13.258975,30,1.0,Charlottenburg-Wilmersdorf,5.0,80.0,9,1,11850,4541865,Entire home/apt
1,1.0,2.0,2.0,0.0570151069807,1206,52.489508,13.327372,30,3.0,Charlottenburg-Wilmersdorf,4.0,104.0,9,1,11850,3995729,Entire home/apt
2,1.0,1.0,1.0,0.0570151069807,1206,52.50742,13.214449,30,2.0,Charlottenburg-Wilmersdorf,5.0,240.0,9,6,11850,1089612,Entire home/apt
3,1.0,1.0,1.0,0.0570151069807,1206,52.50777,13.284347,30,28.0,Charlottenburg-Wilmersdorf,4.5,17.0,9,43,11850,695511,Private room
4,2.0,2.0,2.0,0.0570151069807,1206,52.509341,13.312305,30,1.0,Charlottenburg-Wilmersdorf,5.0,196.0,9,22,11850,3872557,Entire home/apt
5,1.0,1.0,1.0,0.0570151069807,1206,52.505439,13.31155,30,2.0,Charlottenburg-Wilmersdorf,4.5,76.0,9,93,11850,692248,Entire home/apt
6,1.0,2.0,2.0,0.0570151069807,1206,52.509112,13.30499,30,1.0,Charlottenburg-Wilmersdorf,5.0,153.0,9,3,11850,3844652,Entire home/apt
7,1.0,1.0,1.0,0.0570151069807,1206,52.509057,13.273758,30,3.0,Charlottenburg-Wilmersdorf,3.5,38.0,9,2,11850,6437204,Private room
8,1.0,1.0,1.0,0.0570151069807,1206,52.509049,13.304586,30,2.0,Charlottenburg-Wilmersdorf,4.5,49.0,9,14,11850,6478075,Entire home/apt
9,1.0,1.0,1.0,0.0570151069807,1206,52.519783,13.287944,30,3.0,Charlottenburg-Wilmersdorf,4.5,48.0,9,36,11850,1155909,Entire home/apt
10,1.0,1.0,1.0,0.0570151069807,1206,52.516701,13.307629,30,3.0,Charlottenburg-Wilmersdorf,4.5,52.0,9,2,11850,1140239,Entire home/apt
11,1.0,1.0,1.0,0.0570151069807,1206,52.515078,13.294862,30,3.0,Charlottenburg-Wilmersdorf,2.0,24.0,9,0,11850,9364818,Private room
12,1.0,1.0,1.0,0.0570151069807,1206,52.50011,13.323324,30,1.0,Charlottenburg-Wilmersdorf,5.0,87.0,9,1,11850,9225893,Entire home/apt
13,1.0,1.0,1.0,0.0570151069807,1206,52.498788,13.295651,30,2.0,Charlottenburg-Wilmersdorf,4.0,87.0,9,1,11850,1120987,Entire home/apt
14,1.0,1.0,1.0,0.0570151069807,1206,52.503991,13.297273,30,3.0,Charlottenburg-Wilmersdorf,4.5,86.0,9,10,11850,1132188,Entire home/apt
15,1.0,1.0,1.0,0.0570151069807,1206,52.488146,13.323226,30,1.0,Charlottenburg-Wilmersdorf,4.5,38.0,9,30,11850,671958,Private room
16,1.0,1.0,1.0,0.0570151069807,1206,52.500834,13.303278,30,2.0,Charlottenburg-Wilmersdorf,5.0,44.0,9,1,11850,9256865,Entire home/apt
17,1.0,1.0,1.0,0.0570151069807,1206,52.495141,13.32171,30,1.0,Charlottenburg-Wilmersdorf,5.0,87.0,9,2,11850,6585814,Entire home/apt
18,1.0,1.0,1.0,0.0570151069807,1206,52.501618,13.333815,30,3.0,Charlottenburg-Wilmersdorf,4.5,75.0,9,5,11850,1334111,Entire home/apt
19,1.0,1.0,1.0,0.0570151069807,1206,52.518113,13.315918,30,2.0,Charlottenburg-Wilmersdorf,4.5,57.0,9,12,11850,600601,Entire home/apt
20,1.0,1.0,1.0,0.0570151069807,1206,52.483978,13.314241,30,1.0,Charlottenburg-Wilmersdorf,5.0,106.0,9,2,11850,6595429,Entire home/apt
21,1.0,2.0,2.0,0.0570151069807,1206,52.524312,13.298718,30,2.0,Charlottenburg-Wilmersdorf,5.0,125.0,9,40,11850,4156481,Entire home/apt
22,1.0,1.0,1.0,0.0570151069807,1206,52.503872,13.337151,30,2.0,Charlottenburg-Wilmersdorf,4.5,44.0,9,2,11850,1339876,Private room
23,2.0,1.0,1.0,0.0570151069807,1206,52.48241,13.314411,30,3.0,Charlottenburg-Wilmersdorf,5.0,84.0,9,1,11850,1125176,Private room
24,1.0,1.0,1.0,0.0570151069807,1206,52.526807,13.300629,30,1.0,Charlottenburg-Wilmersdorf,4.5,22.0,9,3,11850,6513827,Shared room
25,1.0,1.0,1.0,0.0570151069807,1206,52.526016,13.313234,30,2.0,Charlottenburg-Wilmersdorf,5.0,33.0,9,4,11850,1088794,Private room
26,1.0,1.0,1.0,0.0570151069807,1206,52.494884,13.306271,30,3.0,Charlottenburg-Wilmersdorf,4.5,82.0,9,4,11850,697684,Entire home/apt
27,1.0,1.0,1.0,0.0570151069807,1206,52.529812,13.298874,30,3.0,Charlottenburg-Wilmersdorf,2.0,65.0,9,0,11850,1172669,Entire home/apt
28,1.0,1.0,1.0,0.0570151069807,1206,52.522865,13.299893,30,1.0,Charlottenburg-Wilmersdorf,4.0,27.0,9,1,11850,9092330,Private room
29,1.0,2.0,2.0,0.0570151069807,1206,52.50564,13.315821,30,5.0,Charlottenburg-Wilmersdorf,4.5,58.0,9,7,11850,2268216,Entire home/apt
30,1.0,1.0,1.0,0.0570151069807,1206,52.498722,13.320642,30,2.0,Charlottenburg-Wilmersdorf,4.0,65.0,9,1,11850,9075602,Entire home/apt
31,1.0,2.0,2.0,0.0570151069807,1206,52.507023,13.325561,30,7.0,Charlottenburg-Wilmersdorf,4.5,49.0,9,7,11850,2235087,Entire home/apt
32,1.0,1.0,1.0,0.0570151069807,1206,52.520323,13.320829,30,1.0,Charlottenburg-Wilmersdorf,2.0,55.0,9,1,11850,6707935,Entire home/apt
33,1.0,2.0,2.0,0.0570151069807,1206,52.489422,13.330245,30,3.0,Charlottenburg-Wilmersdorf,5.0,102.0,9,1,11850,7963887,Entire home/apt
34,1.0,1.0,1.0,0.0570151069807,1206,52.518657,13.312812,30,3.0,Charlottenburg-Wilmersdorf,5.0,59.0,9,32,11850,1204897,Entire home/apt
35,2.0,1.0,1.0,0.0570151069807,1206,52.494632,13.329113,30,1.0,Charlottenburg-Wilmersdorf,2.0,15.0,9,0,11850,9340547,Shared room
36,1.0,1.0,1.0,0.0570151069807,1206,52.502056,13.332666,30,1.0,Charlottenburg-Wilmersdorf,2.0,55.0,9,0,11850,9344815,Entire home/apt
37,1.0,1.0,1.0,0.0570151069807,1206,52.496432,13.336953,30,1.0,Charlottenburg-Wilmersdorf,5.0,65.0,9,13,11850,1204115,Entire home/apt
38,1.0,1.0,1.0,0.0570151069807,1206,52.503829,13.291177,30,1.0,Charlottenburg-Wilmersdorf,2.0,163.0,9,0,11850,6690611,Entire home/apt
39,1.0,1.0,1.0,0.0570151069807,1206,52.501576,13.328986,30,1.0,Charlottenburg-Wilmersdorf,4.5,49.0,9,9,11850,1202036,Entire home/apt
40,1.0,2.0,2.0,0.0570151069807,1206,52.500985,13.30577,30,4.0,Charlottenburg-Wilmersdorf,5.0,158.0,9,9,11850,3976211,Entire home/apt
41,1.0,1.0,1.0,0.0570151069807,1206,52.511074,13.300372,30,3.0,Charlottenburg-Wilmersdorf,2.0,88.0,9,0,11850,6499198,Entire home/apt
42,1.0,2.0,2.0,0.0570151069807,1206,52.521144,13.325695,30,1.0,Charlottenburg-Wilmersdorf,4.5,131.0,9,10,11850,4706089,Entire home/apt
43,1.0,1.0,1.0,0.0570151069807,1206,52.479231,13.321266,30,2.0,Charlottenburg-Wilmersdorf,5.0,23.0,9,1,11850,9309774,Private room
44,1.0,2.0,2.0,0.0570151069807,1206,52.511138,13.268553,30,2.0,Charlottenburg-Wilmersdorf,4.5,63.0,9,7,11850,3968204,Entire home/apt
45,1.0,2.0,2.0,0.0570151069807,1206,52.516426,13.273949,30,2.0,Charlottenburg-Wilmersdorf,4.0,75.0,9,9,11850,4024815,Entire home/apt
