,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
0,1.0,0.0,1.0,0.251721976604,8989,41.890418,12.46985,13,3.0,Municipio 1,2.0,167.0,77,0,140078,6408911,Entire home/apt
1,1.0,1.0,1.0,0.251721976604,8989,41.904453,12.458648,13,3.0,Municipio 1,4.5,121.0,77,20,140078,2185484,Entire home/apt
2,1.0,1.0,1.0,0.251721976604,8989,41.911934,12.456873,13,2.0,Municipio 1,5.0,86.0,77,8,140078,2185679,Private room
3,1.0,1.0,1.0,0.251721976604,8989,41.893496,12.510137,13,1.0,Municipio 1,2.0,89.0,77,0,140078,2195553,Private room
4,1.0,1.0,1.0,0.251721976604,8989,41.900427,12.470198,13,1.0,Municipio 1,2.0,115.0,77,0,140078,6959571,Private room
5,1.0,1.0,1.0,0.251721976604,8989,41.892705,12.485735,13,2.0,Municipio 1,5.0,138.0,77,41,140078,2208668,Entire home/apt
6,1.0,1.0,1.0,0.251721976604,8989,41.893488,12.464743,13,3.0,Municipio 1,5.0,104.0,77,27,140078,2212712,Entire home/apt
7,1.0,1.0,1.0,0.251721976604,8989,41.897384,12.496332,13,2.0,Municipio 1,4.5,104.0,77,39,140078,2212724,Entire home/apt
8,1.0,1.0,1.0,0.251721976604,8989,41.906845,12.456831,13,1.0,Municipio 1,5.0,23.0,77,6,140078,6951473,Private room
9,1.0,1.0,1.0,0.251721976604,8989,41.898204,12.493141,13,3.0,Municipio 1,4.0,81.0,77,4,140078,6965838,Entire home/apt
10,1.0,1.0,1.0,0.251721976604,8989,41.89346,12.496109,13,2.0,Municipio 1,2.0,150.0,77,0,140078,6951121,Entire home/apt
11,1.0,1.0,1.0,0.251721976604,8989,41.891924,12.502357,13,2.0,Municipio 1,4.5,81.0,77,14,140078,2215545,Entire home/apt
12,1.0,1.0,1.0,0.251721976604,8989,41.886265,12.470511,13,3.0,Municipio 1,2.0,81.0,77,0,140078,2216686,Entire home/apt
13,1.0,1.0,1.0,0.251721976604,8989,41.906776,12.456909,13,1.0,Municipio 1,2.0,81.0,77,0,140078,6950637,Private room
14,1.0,1.0,1.0,0.251721976604,8989,41.894751,12.501874,13,1.0,Municipio 1,4.5,41.0,77,35,140078,2207578,Private room
15,1.0,1.0,1.0,0.251721976604,8989,41.91564,12.450471,13,1.0,Municipio 1,2.0,75.0,77,0,140078,6951672,Entire home/apt
